p3,p1_conf,p2,p3_conf,timestamp,retweet_count,truncated,img_num,text,name,p1,p2_dog,favorite_count,tweet_id,rating_numerator,jpg_url,p1_dog,retweeted,source,rating_denominator,p2_conf,p3_dog,dog_stages
Scuba Diver,0.504983,Loggerhead,0.0747539,2015-12-30 16:51:48+00:00,1341,False,1,This is Samson. He patrols his waters on the back of his massive shielded battle dog. 11/10 https://t.co/f8dVgDYDFf,Samson,Snorkel,False,3566,682242692827447297,11,https://pbs.twimg.com/media/CXfQG_fW8AAjVhV.jpg,False,False,Twitter for iPhone,10,0.345298,False,None
Malamute,0.43967,Eskimo Dog,0.101253,2015-12-30 17:58:40+00:00,1375,False,1,Meet Jax. He's an Iglesias Hufflepoof. Quite the jokester. Takes it too far sometimes. Can be very hurtful. 9/10 https://t.co/i5TeG0KYcW,Jax,Siberian Husky,True,4578,682259524040966145,9,https://pbs.twimg.com/media/CXffar9WYAArfpw.jpg,True,False,Twitter for iPhone,10,0.340474,True,None
Airedale,0.997659,Lakeland Terrier,0.00020361,2015-12-30 20:54:22+00:00,1135,False,1,This is Todo. He's screaming because he doesn't want to wear his sweater or a seat belt. 9/10 gotta buckle up pup https://t.co/Nm8Spw4HbD,Todo,Seat Belt,True,3389,682303737705140231,9,https://pbs.twimg.com/media/CXgHoLnWAAA8i52.jpg,False,False,Twitter for iPhone,10,0.00173092,True,None
Great Dane,0.482288,Flat-Coated Retriever,0.0621788999999999,2015-12-31 02:33:29+00:00,518,False,1,"Meet Brody. He's a Downton Abbey Falsetto. Addicted to grating cheese. He says he can stop but we know he can't
9/10 https://t.co/vBeiQq6SaZ",Brody,Curly-Coated Retriever,True,1828,682389078323662849,9,https://pbs.twimg.com/media/CXhVKtvW8AAyiyK.jpg,True,False,Twitter for iPhone,10,0.315286,True,None
Rhodesian Ridgeback,0.657275,Paddle,0.0482283,2015-12-31 02:52:40+00:00,773,False,1,This is Kreg. He's riding an invisible jet ski. 11/10 that's downright legendary https://t.co/BA5AV5dx6Y,Kreg,Vizsla,False,2441,682393905736888321,11,https://pbs.twimg.com/media/CXhZom1UwAA4Zz6.jpg,True,False,Twitter for iPhone,10,0.0902863999999999,True,None
Beaver,0.709344,Koala,0.0794334,2015-12-31 03:43:31+00:00,2019,False,1,This is Patrick. He's a bigass pupper. 7/10 https://t.co/J9DXBFoAQe,Patrick,Wombat,False,8319,682406705142087680,7,https://pbs.twimg.com/media/CXhlRmRUMAIYoFO.jpg,False,False,Twitter for iPhone,10,0.169758,False,pupper
Mexican Hairless,0.594701,Italian Greyhound,0.0377733,2015-12-31 05:14:01+00:00,1320,False,1,"I know we joke around on here, but this is getting really frustrating. We rate dogs. Not T-Rex. Thank you... 8/10 https://t.co/5aFw7SWyxU",None,Whippet,True,3769,682429480204398592,8,https://pbs.twimg.com/media/CXh5_dDWQAIbU-J.jpg,True,False,Twitter for iPhone,10,0.314091,True,None
Border Collie,0.440781,Cardigan,0.0224122,2015-12-31 19:05:54+00:00,675,False,1,I have no words. Just a magnificent pup. 12/10 https://t.co/viwWHZgX8j,None,English Springer,True,2266,682638830361513985,12,https://pbs.twimg.com/media/CXk4W0qWYAMEMEs.jpg,True,False,Twitter for iPhone,10,0.411182,True,None
Basset,0.4138239999999999,Cardigan,0.167618,2015-12-31 20:39:41+00:00,1207,False,1,Meet Joey and Izzy. Joey only has one ear that works and Izzy wants 2015 to be over already. Both great pups. 11/10s https://t.co/WgQTIQ93BB,Joey,Beagle,True,3326,682662431982772225,11,https://pbs.twimg.com/media/CXlN1-EWMAQdwXK.jpg,True,False,Twitter for iPhone,10,0.263553,True,None
Cliff,0.097232,Torch,0.0903855,2015-12-31 22:57:47+00:00,397,False,1,NAAAAAAA ZAPENYAAAAA MABADI-CHIBAWAAA 12/10 https://t.co/Ny4iM6FDtz,None,Bald Eagle,False,1440,682697186228989953,12,https://pbs.twimg.com/media/CXltdtaWYAIuX_V.jpg,False,False,Twitter for iPhone,10,0.0966215,False,None
Brittany Spaniel,0.947198,English Springer,0.00551247,2016-01-01 02:29:49+00:00,494,False,1,Meet Taco. He's a speckled Garnier Fructis. Loves to shadow box. Ears out of control. Friend clearly impressed 9/10 https://t.co/85X1GHohFr,Taco,English Setter,True,1674,682750546109968385,9,https://pbs.twimg.com/media/CXmd_bsWkAEEXck.jpg,True,False,Twitter for iPhone,10,0.0311276999999999,True,None
Teddy,0.37561,Orange,0.0398082,2016-01-01 05:00:24+00:00,1258,False,1,"Happy New Year from your fav holiday squad! 🎉 12/10 for all

Here's to a pupper-filled year 🍻🐶🐶🐶 https://t.co/ZSdEj59FGf",None,Toyshop,False,2706,682788441537560576,12,https://pbs.twimg.com/media/CXnAdosWAAEMGCM.jpg,False,False,Twitter for iPhone,10,0.0945376,False,pupper
Loupe,0.2786,Chihuahua,0.153598,2016-01-01 16:30:13+00:00,15043,False,1,This is Darrel. He just robbed a 7/11 and is in a high speed police chase. Was just spotted by the helicopter 10/10 https://t.co/7EsP8LmSp5,Darrel,Dingo,True,26239,682962037429899265,7,https://pbs.twimg.com/media/CXpeVzQW8AApKYb.jpg,False,False,Twitter for iPhone,11,0.1552069999999999,False,None
French Bulldog,0.722218,Bull Mastiff,0.0551937,2016-01-01 21:00:32+00:00,832,False,1,This is Lulu. She's contemplating all her unreached 2015 goals and daydreaming of a more efficient tomorrow. 10/10 https://t.co/h3ScYuz77J,Lulu,Boxer,True,2370,683030066213818368,10,https://pbs.twimg.com/media/CXqcOHCUQAAugTB.jpg,True,False,Twitter for iPhone,10,0.193804,True,None
Wallaby,0.141432,Eskimo Dog,0.0852365,2016-01-02 00:14:32+00:00,634,False,1,Here we see a nifty leaping pupper. Feet look deadly. Sad that the holidays are over. 9/10 undeniably huggable https://t.co/ny8mnXhGOW,None,Koala,True,2176,683078886620553216,9,https://pbs.twimg.com/media/CXrIntsUsAEkv0d.jpg,False,False,Twitter for iPhone,10,0.0940442,False,pupper
Labrador Retriever,0.889848,Kuvasz,0.0378812,2016-01-02 01:33:43+00:00,736,False,1,aahhhhkslaldhwnxmzbbs 12/10 for being da smooshiest https://t.co/UOPdXmUz4H,None,Golden Retriever,True,2361,683098815881154561,12,https://pbs.twimg.com/media/CXrawAhWkAAWSxC.jpg,True,False,Twitter for iPhone,10,0.0530082,True,None
Miniature Schnauzer,0.901392,Soft-Coated Wheaten Terrier,0.0178054,2016-01-02 02:23:45+00:00,1034,False,1,This is Larry. He thought the New Year's parties were tonight. 10/10 poor pupper. Maybe next year https://t.co/h3X0jK8MVM,Larry,Cocker Spaniel,True,3736,683111407806746624,10,https://pbs.twimg.com/media/CXrmMSpUwAAdeRj.jpg,True,False,Twitter for iPhone,10,0.0286048,True,pupper
German Shepherd,0.605851,Chow,0.0796619,2016-01-02 04:27:31+00:00,1173,False,1,Meet Brandy. She's a member of the Bloods. Menacing criminal pupper. Soft spot for flowers tho. 9/10 pet w caution https://t.co/hhIA3coiAJ,Brandy,Leonberg,True,3162,683142553609318400,9,https://pbs.twimg.com/media/CXsChyjW8AQJ16C.jpg,True,False,Twitter for iPhone,10,0.18347,True,pupper
Siberian Husky,0.406509,Cardigan,0.136366,2016-01-02 18:43:31+00:00,1059,False,1,"""Have a seat, son. There are some things we need to discuss"" 10/10 https://t.co/g4G5tvfTVd",None,Pembroke,True,3238,683357973142474752,10,https://pbs.twimg.com/media/CXvGbWeWMAcRbyJ.jpg,True,False,Twitter for iPhone,10,0.154854,True,None
Pug,0.992833,Boston Bull,0.00139169,2016-01-02 20:58:09+00:00,2702,False,1,"Say hello to Jack (pronounced ""Kevin""). He's a Virgo Episcopalian. Can summon rainbows. 11/10 magical as hell https://t.co/YHXrdUTHd6",Jack,French Bulldog,True,8356,683391852557561860,11,https://pbs.twimg.com/media/CXvlQ2zW8AAE0tp.jpg,True,False,Twitter for iPhone,10,0.00474863,True,None
Golden Retriever,0.303512,Soft-Coated Wheaten Terrier,0.170725,2016-01-03 00:47:59+00:00,1837,False,1,I just want to be friends with this dog. Appears to be into the sports. A true brobean. 10/10 would introduce to mom https://t.co/1Z7Q6svWpe,None,Lakeland Terrier,True,4290,683449695444799489,10,https://pbs.twimg.com/media/CXwZ3pbWsAAriTv.jpg,True,False,Twitter for iPhone,10,0.2114239999999999,True,None
German Short-Haired Pointer,0.3995599999999999,Whippet,0.0813191,2016-01-03 01:39:57+00:00,761,False,1,"""Hello forest pupper I am house pupper welcome to my abode"" (8/10 for both) https://t.co/qFD8217fUT",None,Italian Greyhound,True,2676,683462770029932544,8,https://pbs.twimg.com/media/CXwlw9MWsAAc-JB.jpg,True,False,Twitter for iPhone,10,0.267153,True,pupper
German Shepherd,0.508951,Chow,0.013206,2016-01-03 02:53:17+00:00,1118,False,1,Meet Banjo. He's a Peppercorn Shoop Da Whoop. Nails look lethal. Skeptical of luminescent orb 11/10 stay woke pupper https://t.co/H7NZFumpKq,Banjo,Keeshond,True,2878,683481228088049664,11,https://pbs.twimg.com/media/CXw2jSpWMAAad6V.jpg,True,False,Twitter for iPhone,10,0.4420159999999999,True,pupper
Lakeland Terrier,0.945362,Irish Terrier,0.0168264,2016-01-03 04:01:13+00:00,1095,False,1,This is Griffin. He's desperate for both a physical and emotion connection. 11/10 I'd hug the hell out of Griffin https://t.co/ObWcOEekt0,Griffin,Airedale,True,3469,683498322573824003,11,https://pbs.twimg.com/media/CXxGGOsUwAAr62n.jpg,True,False,Twitter for iPhone,10,0.02685,True,None
No Image,0.0,No Image,0.0,2016-01-03 05:11:12+00:00,3291,False,0,HEY PUP WHAT'S THE PART OF THE HUMAN BODY THAT CONNECTS THE FOOT AND THE LEG? 11/10 so smart https://t.co/XQ1tRUmO3z,None,No Image,False,8058,683515932363329536,11,No Image,False,False,Vine - Make a Scene,10,0.0,False,None
Cocker Spaniel,0.895279,Cardigan,0.0170452,2016-01-03 20:12:10+00:00,3781,False,1,Meet Sebastian. He's a womanizer. Romantic af. Always covered in flower petals. Also a poet. 11/10 dreamy as hell https://t.co/eoL1bCpWCg,Sebastian,Pembroke,True,7162,683742671509258241,11,https://pbs.twimg.com/media/CX0kVRxWYAAWWZi.jpg,True,False,Twitter for iPhone,10,0.022385,True,None
Schipperke,0.0728852,Labrador Retriever,0.0532566,2016-01-03 22:14:26+00:00,1533,False,1,This is Buddy. He's gaining strength. Currently an F4 tornado with wind speeds up to 260mph. Very devastating. 9/10 https://t.co/qipZbshNsR,Buddy,Miniature Pinscher,True,3684,683773439333797890,9,https://pbs.twimg.com/media/CX1AUQ2UAAAC6s-.jpg,True,False,Twitter for iPhone,10,0.0578658,True,None
Eskimo Dog,0.577376,Siberian Husky,0.117563,2016-01-04 01:53:37+00:00,1195,False,1,Breathtaking pupper here. Should be on the cover of Dogue. Top-notch tongue. Appears considerably fluffy. 12/10 https://t.co/Eeh3yfdglS,None,Malamute,True,3053,683828599284170753,12,https://pbs.twimg.com/media/CX1ye7HUMAADDzh.jpg,True,False,Twitter for iPhone,10,0.2871309999999999,True,pupper
Samoyed,0.738449,Toy Poodle,0.0232472,2016-01-04 02:18:42+00:00,1265,False,1,Here we see a faulty pupper. Might need to replace batteries. Try turning off &amp; back on again. 9/10 would still pet https://t.co/O1E4AtHVxO,None,Maltese Dog,True,2880,683834909291606017,9,https://pbs.twimg.com/ext_tw_video_thumb/683834825250320385/pu/img/yZdrqMlyky4KGOu6.jpg,True,False,Twitter for iPhone,10,0.102992,True,pupper
Wild Boar,0.458855,Mexican Hairless,0.1117,2016-01-04 03:18:23+00:00,1116,False,1,This is Jiminy. He's not the brightest dog. Needs to lay off the kibble. 5/10 still petable https://t.co/omln4LOy1x,Jiminy,Hog,True,2896,683849932751646720,5,https://pbs.twimg.com/media/CX2F4qNUQAAR6Cm.jpg,False,False,Twitter for iPhone,10,0.164906,False,None
Miniature Poodle,0.5513520000000001,Teddy,0.164095,2016-01-04 03:28:54+00:00,397,False,1,"Say hello to Tiger. He's a penbroke (little dog pun for ya, no need to applaud I know it was good) 10/10 good dog https://t.co/Yei0HzS3JN",Tiger,Toy Poodle,False,2111,683852578183077888,10,https://pbs.twimg.com/media/CX2ISqSWYAAEtCF.jpg,True,False,Twitter for iPhone,10,0.180678,True,None
Beagle,0.174738,Shetland Sheepdog,0.1228869999999999,2016-01-04 03:50:08+00:00,1262,False,1,Meet Sadie. She fell asleep on the beach and her friends buried her. 10/10 can't trust fellow puppers these days https://t.co/LoKVvc1xAW,Sadie,Bluetick,True,4163,683857920510050305,10,https://pbs.twimg.com/media/CX2NJmRWYAAxz_5.jpg,True,False,Twitter for iPhone,10,0.126101,True,pupper
Chesapeake Bay Retriever,0.6278560000000001,German Short-Haired Pointer,0.0413416999999999,2016-01-04 19:43:10+00:00,1621,False,1,Say hello to Lupe. This is how she sleeps. 10/10 impressive really https://t.co/Fz6iZWlk8C,Lupe,Labrador Retriever,True,4515,684097758874210310,10,https://pbs.twimg.com/media/CX5nR5oWsAAiclh.jpg,True,False,Twitter for iPhone,10,0.173675,True,None
Jaguar,0.8221930000000001,Arabian Camel,0.0257848,2016-01-04 21:23:02+00:00,539,False,1,Heartwarming scene of two pups that want nothing more than to be together. Touching af. Great tongue. Both 11/10 https://t.co/k32mSlRx0j,None,Cheetah,False,2176,684122891630342144,11,https://pbs.twimg.com/media/CX5-HslWQAIiXKB.jpg,False,False,Twitter for iPhone,10,0.0469761,False,None
No Image,0.0,No Image,0.0,2016-01-04 23:02:22+00:00,1703,False,0,This is Sweets the English Bulldog. Waves back to other bikers. 12/10 just a fantastic friendly pupper https://t.co/WYiFzuX7D4,Sweets,No Image,False,3265,684147889187209216,12,No Image,False,False,Vine - Make a Scene,10,0.0,False,pupper
Golden Retriever,0.334783,German Shepherd,0.1386119999999999,2016-01-05 01:00:50+00:00,764,False,1,This is Kulet. She's very proud of the flower she picked. Loves it dearly. 10/10 now I want a flower https://t.co/myUUwqJIs7,Kulet,Chow,True,2215,684177701129875456,10,https://pbs.twimg.com/media/CX6v_JOWsAE0beZ.jpg,True,False,Twitter for iPhone,10,0.162647,True,None
Staffordshire Bullterrier,0.537782,American Staffordshire Terrier,0.0697599,2016-01-05 01:44:52+00:00,1343,False,1,"""Yo Boomer I'm taking a selfie, grab your stick""
""Ok make sure to get this rad hole I just dug in there""

Both 10/10 https://t.co/e0gbl9VFpA",None,Kelpie,True,3831,684188786104872960,10,https://pbs.twimg.com/media/CX66EiJWkAAVjA-.jpg,True,False,Twitter for iPhone,10,0.0829531999999999,True,None
Boston Bull,0.379365,Toy Terrier,0.0959809,2016-01-05 02:09:54+00:00,595,False,1,This is Tino. He really likes corndogs. 9/10 https://t.co/cUxGtnBfc2,Tino,Chihuahua,True,2108,684195085588783105,9,https://pbs.twimg.com/media/CX6_y6OU0AAl3v2.jpg,True,False,Twitter for iPhone,10,0.1218089999999999,True,None
Hog,0.681347,Ram,0.0436858,2016-01-05 02:30:55+00:00,1177,False,1,Gang of fearless hoofed puppers here. Straight savages. Elevated for extra terror. Front one has killed before 6/10s https://t.co/jkCb25OWfh,None,Llama,False,2394,684200372118904832,6,https://pbs.twimg.com/media/CX7EkuHWkAESLZk.jpg,False,False,Twitter for iPhone,10,0.120142,False,pupper
Teddy,0.7911819999999999,Cocker Spaniel,0.0714865,2016-01-05 04:00:18+00:00,1563,False,1,Someone help the girl is being mugged. Several are distracting her while two steal her shoes. Clever puppers 121/110 https://t.co/1zfnTJLt55,None,Soft-Coated Wheaten Terrier,True,4225,684222868335505415,121,https://pbs.twimg.com/media/CX7Y_ByWwAEJdUy.jpg,True,False,Twitter for iPhone,110,0.0724441,False,pupper
Weasel,0.508498,Black-Footed Ferret,0.0512800999999999,2016-01-05 05:14:53+00:00,3727,False,1,This is Obi. He got camera shy. 12/10 https://t.co/feiPiq7z94,Obi,Pembroke,False,8999,684241637099323392,12,https://pbs.twimg.com/media/CX7qIcdWcAELJ7N.jpg,True,False,Twitter for iPhone,10,0.115532,False,None
American Staffordshire Terrier,0.673691,Chesapeake Bay Retriever,0.0594713,2016-01-05 19:42:51+00:00,628,False,1,This is Jeph. He's a Western Sagittarius Dookmarriot. Frightened by leaf. Caught him off guard. 10/10 calm down Jeph https://t.co/bicyOV6lju,Jeph,Labrador Retriever,True,2169,684460069371654144,10,https://pbs.twimg.com/media/CX-wzZEUwAA4ISM.jpg,True,False,Twitter for iPhone,10,0.194897,True,None
Polecat,0.93781,Pomeranian,0.017357,2016-01-05 21:06:19+00:00,1320,False,1,Meet Pippa. She's an Elfin High Feta. Compact af. Easy to transport. Great for vacations. 10/10 would keep in pocket https://t.co/nBtDeZ4yAb,Pippa,Chihuahua,True,4249,684481074559381504,10,https://pbs.twimg.com/media/CX_D6AJWwAAnBIw.jpg,True,False,Twitter for iPhone,10,0.0203067,False,None
Seat Belt,0.401942,Llama,0.209393,2016-01-06 02:49:55+00:00,1418,False,1,This is Bobby. He doesn't give a damn about personal space. Convinced he called shotgun first. 4/10 not the best dog https://t.co/b8XW69gSaU,Bobby,Minibus,False,3312,684567543613382656,4,https://pbs.twimg.com/media/CYASi6FWQAEQMW2.jpg,False,False,Twitter for iPhone,10,0.229145,False,None
No Image,0.0,No Image,0.0,2016-01-06 04:11:43+00:00,1592,False,0,This pupper just got his first kiss. 12/10 he's so happy https://t.co/2sHwD7HztL,None,No Image,False,4489,684588130326986752,12,No Image,False,False,Vine - Make a Scene,10,0.0,False,pupper
Brittany Spaniel,0.948688,English Setter,0.00387878,2016-01-06 04:38:35+00:00,4016,False,1,"""FOR THE LAST TIME I DON'T WANNA PLAY TWISTER ALL THE SPOTS ARE GREY DAMN IT CINDY"" ...10/10 https://t.co/uhQNehTpIu",None,Weimaraner,True,9843,684594889858887680,10,https://pbs.twimg.com/media/CYAra7JWsAACPZH.jpg,True,False,Twitter for iPhone,10,0.0353524,True,None
West Highland White Terrier,0.294457,Norfolk Terrier,0.120992,2016-01-06 18:14:31+00:00,1124,False,1,Meet Theodore. He's dapper as hell. Probably owns horses. Uses 'summer' as a verb. Often quotes philosophers. 11/10 https://t.co/J3Ld4fRbSy,Theodore,Miniature Schnauzer,True,2979,684800227459624960,11,https://pbs.twimg.com/media/CYDmK7ZVAAI_ylL.jpg,True,False,Twitter for iPhone,10,0.161885,True,None
No Image,0.0,No Image,0.0,2016-01-06 20:16:44+00:00,24514,False,0,This little fella really hates stairs. Prefers bush. 13/10 legendary pupper https://t.co/e3LPMAHj7p,None,No Image,False,38551,684830982659280897,13,No Image,False,False,Vine - Make a Scene,10,0.0,False,pupper
Agama,0.0811009999999999,Spindle,0.0608837,2016-01-06 23:33:58+00:00,936,False,1,Here we have a basking dino pupper. Looks powerful. Occasionally shits eggs. Doesn't want the holidays to end. 5/10 https://t.co/DnNweb5eTO,None,Clog,False,2305,684880619965411328,5,https://pbs.twimg.com/media/CYEvSaRWwAAukZ_.jpg,False,False,Twitter for iPhone,10,0.0669566,False,pupper
Dingo,0.708034,Cardigan,0.000184561,2016-01-07 00:59:40+00:00,605,False,1,This is Perry. He's an Augustus Gloopster. Very condescending. Makes up for it with the sneaky tongue slip. 11/10 https://t.co/JVvIrUmTkR,Perry,Pembroke,True,2053,684902183876321280,11,https://pbs.twimg.com/media/CYFC5lmWAAAEIho.jpg,True,False,Twitter for iPhone,10,0.2914469999999999,False,None
Labrador Retriever,0.46095,Chow,0.0741938,2016-01-07 01:49:14+00:00,1662,False,1,"""Hello yes I'll just get one of each color thanks"" 12/10 for all https://t.co/AMDsllQs7a",None,Shopping Cart,True,3848,684914660081053696,12,https://pbs.twimg.com/media/CYFOP6cWEAAWp-k.jpg,False,False,Twitter for iPhone,10,0.261288,True,None
Lion,0.769412,Golden Retriever,0.0214398,2016-01-07 02:38:10+00:00,552,False,1,Meet Bruiser &amp; Charlie. They are the best of pals. Been through it all together. Both 11/10. 1 like=1 friendship https://t.co/PEXHuvSVD4,Bruiser,Labrador Retriever,True,3849,684926975086034944,11,https://pbs.twimg.com/media/CYFZXdiU0AAc_kw.jpg,True,False,Twitter for iPhone,10,0.144893,False,None
Old English Sheepdog,0.665578,Collie,0.0651747,2016-01-07 03:30:07+00:00,1191,False,2,This is Oreo. She's a photographer and a model. Living a double pupple life. 12/10 such talent much cute would pet https://t.co/zNeLxJeAoL,Oreo,Border Collie,True,3523,684940049151070208,12,https://pbs.twimg.com/media/CYFlVUFWwAAEsWX.jpg,True,False,Twitter for iPhone,10,0.176846,True,None
Hog,0.3796239999999999,Triceratops,0.0842515,2016-01-07 04:48:36+00:00,3487,False,1,This is Jerry. He's a neat dog. No legs (tragic). Has more horns than a dog usually does. Bark is unique af. 5/10 https://t.co/85q7xlplsJ,Jerry,Llama,False,7004,684959798585110529,5,https://pbs.twimg.com/media/CYF3TSlWMAAaoG5.jpg,False,False,Twitter for iPhone,10,0.162761,False,None
Entlebucher,0.975096,Appenzeller,0.00594348,2016-01-07 18:41:01+00:00,1620,False,1,Meet Gerbald. He just found out he's adopted. Poor pupper. Snazzy tongue tho. 11/10 would hold close in time of need https://t.co/UfGkB9Wrud,Gerbald,Bernese Mountain Dog,True,4489,685169283572338688,11,https://pbs.twimg.com/media/CYI10WhWsAAjzii.jpg,True,False,Twitter for iPhone,10,0.0145781,True,pupper
Old English Sheepdog,0.8888290000000001,Stove,0.00967138,2016-01-07 20:39:06+00:00,764,False,1,This is Alfie. That is his time machine. He's very proud of it. Without him life as we know it would not exist 11/10 https://t.co/530Yfbl5xo,Alfie,Dishwasher,False,2566,685198997565345792,11,https://pbs.twimg.com/media/CYJQxvJW8AAkkws.jpg,False,False,Twitter for iPhone,10,0.0134115,True,None
Bull Mastiff,0.999044,Norwegian Elkhound,0.000235195,2016-01-08 01:16:17+00:00,1371,False,1,This is Hubertson. He's a Carmel Haberdashery. Enjoys long summer days on his boat. Very peaceful pupper. 10/10 https://t.co/vzCl35fKlZ,Hubertson,Pug,True,3419,685268753634967552,10,https://pbs.twimg.com/media/CYKQS0xUQAEOptC.jpg,True,False,Twitter for iPhone,10,0.000546586,True,pupper
Keeshond,0.963176,Shetland Sheepdog,0.00860493,2016-01-08 03:50:03+00:00,496,False,1,Say hello to Petrick. He's an Altostratus Floofer. Just had a run in with a trash bag. Groovy checkered floor. 11/10 https://t.co/rwW7z1JAOF,Petrick,Pomeranian,True,2262,685307451701334016,11,https://pbs.twimg.com/media/CYKzfTTWMAEeTN7.jpg,True,False,Twitter for iPhone,10,0.0194683,True,None
Eskimo Dog,0.4701619999999999,Pomeranian,0.105074,2016-01-08 04:21:00+00:00,1234,False,2,I would like everyone to appreciate this pup's face as much as I do. 11/10 https://t.co/QIe7oxkSNo,None,Chow,True,3676,685315239903100929,11,https://pbs.twimg.com/media/CYK6kf0WMAAzP-0.jpg,True,False,Twitter for iPhone,10,0.1596769999999999,True,None
Boxer,0.972483,French Bulldog,0.000457544,2016-01-08 04:46:13+00:00,735,False,1,This is Rocky. He sleeps like a psychopath. 10/10 quality tongue slip https://t.co/MbgG95mUdu,Rocky,Boston Bull,True,2910,685321586178670592,10,https://pbs.twimg.com/media/CYLAWFMWMAEcRzb.jpg,True,False,Twitter for iPhone,10,0.0254692999999999,True,None
Kuvasz,0.586937,Labrador Retriever,0.00540969,2016-01-08 05:00:14+00:00,4535,False,1,"""Tristan do not speak to me with that kind of tone or I will take away the Xbox."" 10/10 https://t.co/VGPH0TfESw",None,Golden Retriever,True,10471,685325112850124800,10,https://pbs.twimg.com/media/CYLDikFWEAAIy1y.jpg,True,False,Twitter for iPhone,10,0.39826,True,None
Collie,0.318524,Dingo,0.0958052,2016-01-08 18:43:29+00:00,1298,False,1,"For the last time, WE. DO. NOT. RATE. BULBASAUR. We only rate dogs. Please only send dogs. Thank you ...9/10 https://t.co/GboDG8WhJG",None,White Wolf,False,3336,685532292383666176,9,https://pbs.twimg.com/media/CYN_-6iW8AQhPu2.jpg,False,False,Twitter for iPhone,10,0.215436,True,None
Hand-Held Computer,0.923987,Oscilloscope,0.00876857,2016-01-08 19:45:39+00:00,17465,False,1,Everybody needs to read this. Jack is our first 14/10. Truly heroic pupper https://t.co/3m6bNGXWnM,None,Web Site,False,35052,685547936038666240,14,https://pbs.twimg.com/media/CYOONfZW8AA7IOA.jpg,False,False,Twitter for iPhone,10,0.00971237,False,pupper
Three-Toed Sloth,0.253839,Airedale,0.0838341,2016-01-09 01:59:19+00:00,885,False,1,This is Otis. He just passed a cop while going 61 in a 45. Very nervous pupper. 7/10 https://t.co/jJS8qQeuNO,Otis,Lakeland Terrier,True,3218,685641971164143616,7,https://pbs.twimg.com/media/CYPjvFqW8AAgiP2.jpg,True,False,Twitter for iPhone,10,0.2133489999999999,False,pupper
Racket,0.171174,Tennis Ball,0.0485077,2016-01-09 03:24:40+00:00,1656,False,1,"Meet Brooks. He's confused by the almighty ball of tennis. 12/10 

(vid by @PDolan37) https://t.co/AcVWe39nmM",Brooks,Chesapeake Bay Retriever,False,3557,685663452032069632,12,https://pbs.twimg.com/ext_tw_video_thumb/685663358637486080/pu/img/3cXSHFZAgJQ_dDCf.jpg,True,False,Twitter for iPhone,10,0.090644,False,None
Washbasin,0.344526,Doormat,0.0463264,2016-01-09 03:40:16+00:00,666,False,1,This is Marty. He has no idea what happened here. Never seen this stuff in his life. 9/10 very suspicious pupper https://t.co/u427woxFpJ,Marty,Sliding Door,False,2579,685667379192414208,9,https://pbs.twimg.com/media/CYP62A6WkAAOnL4.jpg,False,False,Twitter for iPhone,10,0.190027,False,pupper
Pekinese,0.414963,Briard,0.0536822,2016-01-09 19:31:20+00:00,3303,False,1,This is Olive. He's stuck in a sleeve. 9/10 damn it Olive https://t.co/NnLjg6BgyF,Olive,Yorkshire Terrier,True,8277,685906723014619143,9,https://pbs.twimg.com/media/CYTUhn7WkAEXocW.jpg,True,False,Twitter for iPhone,10,0.0635052,True,None
Cardigan,0.200812,Toy Terrier,0.0945196,2016-01-09 21:58:42+00:00,696,False,1,This is the newly formed pupper a capella group. They're just starting out but I see tons of potential. 8/10 for all https://t.co/wbAcvFoNtn,None,Papillon,True,1801,685943807276412928,8,https://pbs.twimg.com/ext_tw_video_thumb/685943751555051520/pu/img/rlBvQWaFPUMx1MTi.jpg,True,False,Twitter for iPhone,10,0.1145119999999999,True,pupper
Malamute,0.4506779999999999,Eskimo Dog,0.11859,2016-01-09 23:55:38+00:00,611,False,1,This is Lorelei. She's contemplating her existence and the eventual heat death of the universe. 11/10 very majestic https://t.co/xbUoULOIS8,Lorelei,Siberian Husky,True,2326,685973236358713344,11,https://pbs.twimg.com/media/CYURBGoWYAAKey3.jpg,True,False,Twitter for iPhone,10,0.430275,True,None
Whiptail,0.1907859999999999,Common Newt,0.0889582,2016-01-10 01:54:44+00:00,735,False,1,This is Hammond. He's a peculiar pup. Loves long walks. Bark barely audible. Too many legs. 3/10 must be rare https://t.co/NOIiRWr5Jf,Hammond,Damselfly,False,2009,686003207160610816,3,https://pbs.twimg.com/media/CYUsRsbWAAAUt4Y.jpg,False,False,Twitter for iPhone,10,0.0981314,False,None
Seat Belt,0.885301,Redbone,0.010493,2016-01-10 02:13:27+00:00,472,False,1,This pupper has a magical eye. 11/10 I can't stop looking at it https://t.co/heAGpKTpPW,None,Rhodesian Ridgeback,True,2704,686007916130873345,11,https://pbs.twimg.com/media/CYUwjz-UAAEcdi8.jpg,True,False,Twitter for iPhone,10,0.0423354,False,pupper
Greater Swiss Mountain Dog,0.23692,Irish Wolfhound,0.1039,2016-01-10 03:57:12+00:00,1324,False,1,Your fav crew is back and this time they're embracing cannabis culture. 12/10 for all https://t.co/oSvRDuMm1D,None,Great Dane,True,3424,686034024800862208,12,https://pbs.twimg.com/media/CYVIToGWQAAEZ_y.jpg,True,False,Twitter for iPhone,10,0.1176079999999999,True,None
